tiempo,voltaje
260.319,-202.663
260.319,-191.859
260.329,-254.891
260.337,-163.518
260.349,-238.827
260.356,-202.529
260.368,-191.323
260.378,-255.025
260.388,-164.456
260.399,-239.782
260.406,-203.333
260.427,-192.261
260.428,-255.310
260.438,-164.188
260.446,-238.827
260.459,-202.931
260.466,-191.055
260.477,-255.444
260.486,-164.188
260.500,-239.246
260.508,-203.735
260.516,-191.189
260.526,-255.578
260.536,-164.724
260.549,-238.559
260.559,-203.467
260.566,-191.055
260.578,-255.846
260.586,-164.724
260.598,-238.961
260.608,-204.405
260.616,-191.055
260.630,-255.846
260.636,-164.590
260.659,-238.693
260.659,-204.003
260.668,-190.101
260.678,-255.846
260.686,-164.858
260.696,-238.559
260.708,-205.494
260.718,-190.787
260.726,-255.846
260.737,-164.456
260.746,-238.157
260.767,-204.271
260.768,-189.698
260.779,-255.712
260.787,-164.188
260.800,-238.023
260.806,-204.824
260.819,-189.564
260.826,-255.578
260.837,-163.920
260.848,-238.023
260.856,-205.226
260.866,-189.430
260.876,-255.846
260.890,-164.858
260.897,-237.889
260.907,-205.628
260.918,-189.564
260.926,-255.846
260.949,-164.188
260.949,-236.667
260.956,-206.164
260.967,-189.028
260.976,-255.846
260.986,-164.456
260.996,-237.755
261.014,-206.985
261.017,-189.564
261.029,-255.980
261.040,-164.456
261.048,-236.817
261.056,-206.164
261.069,-188.760
261.080,-255.846
261.086,-164.724
261.097,-237.487
261.106,-207.521
261.116,-188.760
261.137,-256.114
261.140,-165.126
261.150,-237.487
261.157,-206.851
261.166,-188.074
261.176,-256.248
261.196,-164.858
261.198,-238.827
261.209,-207.789
261.217,-188.074
261.228,-256.248
261.236,-164.992
261.246,-236.667
261.264,-208.057
261.268,-187.940
261.278,-256.114
261.287,-164.992
261.296,-236.817
261.306,-208.057
261.324,-187.940
261.327,-256.248
261.340,-164.724
261.347,-235.595
261.359,-208.191
261.366,-186.868
261.376,-255.980
261.387,-164.590
261.401,-235.863
261.407,-208.459
261.417,-186.734
261.427,-255.846
261.436,-164.724
261.459,-235.997
261.460,-208.459
261.467,-186.734
261.478,-255.846
261.487,-164.858
261.496,-235.863
261.506,-209.950
261.516,-186.734
261.539,-256.114
261.541,-164.992
261.547,-235.863
261.556,-209.146
261.568,-186.734
261.576,-256.248
261.591,-165.260
261.599,-235.461
261.607,-209.682
261.617,-186.734
261.626,-256.248
261.636,-164.992
261.646,-235.327
261.657,-239.380
261.679,-185.779
261.680,-255.980
261.691,-165.126
261.697,-235.193
261.707,-210.084
261.716,-186.600
261.739,-257.320
261.741,-165.410
261.751,-233.568
261.758,-210.084
261.769,-186.064
261.776,-256.516
261.786,-165.544
261.796,-234.925
261.818,-210.352
261.820,-185.779
261.830,-256.650
261.837,-165.544
261.848,-234.238
261.856,-211.441
261.875,-186.734
261.876,-256.382
261.890,-165.126
261.898,-234.523
261.916,-186.734
261.928,-255.444
261.936,-165.946
261.955,-234.925
261.957,-211.843
261.968,-185.377
261.977,-256.516
261.987,-165.410
261.996,-234.238
262.016,-211.709
262.020,-184.975
262.028,-256.516
262.038,-165.260
262.046,-234.104
262.056,-211.575
262.066,-184.707
262.076,-256.650
262.093,-165.126
262.098,-233.836
262.106,-212.379
262.117,-184.841
262.126,-255.846
262.136,-165.126
262.150,-233.568
262.156,-211.843
262.169,-184.305
262.176,-256.516
262.190,-165.260
262.196,-233.836
262.206,-212.781
262.216,-184.573
262.233,-256.516
262.237,-165.410
262.248,-233.300
262.260,-213.049
262.270,-184.305
262.276,-256.784
262.292,-165.544
262.297,-233.166
262.309,-213.049
262.320,-183.769
262.328,-256.248
262.336,-165.544
262.346,-232.764
262.356,-213.049
262.370,-183.350
262.376,-256.114
262.388,-165.410
262.398,-232.764
262.406,-214.941
262.428,-182.546
262.430,-256.650
262.440,-160.821
262.447,-232.764
262.456,-214.941
262.466,-183.082
262.476,-256.248
262.496,-165.812
262.497,-231.943
262.509,-214.941
262.516,-182.814
262.528,-256.784
262.536,-165.946
262.555,-232.362
262.557,-214.941
262.571,-182.814
262.577,-255.846
262.586,-166.884
262.596,-232.898
262.606,-216.030
262.616,-182.948
262.632,-256.114
262.636,-165.812
262.648,-232.228
262.658,-216.566
262.666,-182.412
262.687,-257.052
262.688,-167.018
262.702,-233.300
262.706,-216.968
262.717,-183.216
262.726,-257.605
262.736,-167.152
262.756,-232.228
262.757,-216.432
262.767,-182.412
262.781,-257.320
262.789,-166.348
262.796,-232.077
262.809,-217.236
262.819,-182.278
262.827,-257.186
262.838,-166.884
262.846,-231.943
262.856,-217.102
262.866,-182.144
262.879,-256.784
262.891,-167.152
262.897,-231.273
262.906,-217.906
262.916,-182.680
262.931,-257.873
262.936,-167.973
262.947,-231.809
262.956,-218.325
262.966,-182.278
262.976,-257.471
262.991,-168.107
263.000,-231.809
263.007,-218.995
263.016,-182.412
263.026,-258.007
263.038,-167.973
263.048,-231.139
263.057,-218.995
263.067,-181.189
263.076,-257.471
263.087,-167.420
263.098,-230.737
263.109,-218.593
263.117,-181.474
263.129,-257.186
263.136,-167.420
263.146,-230.201
263.157,-218.861
263.169,-180.385
263.176,-256.784
263.186,-167.973
263.208,-230.603
263.209,-219.799
263.218,-180.385
263.226,-257.320
263.239,-167.973
263.246,-230.469
263.258,-219.531
263.267,-180.385
263.279,-256.918
263.286,-167.973
263.296,-229.933
263.315,-220.201
263.316,-180.251
263.329,-257.320
263.339,-168.241
263.346,-229.933
263.362,-219.799
263.366,-179.983
263.378,-256.784
263.387,-167.973
263.396,-229.648
263.406,-220.888
263.422,-179.983
263.427,-256.114
263.437,-167.839
263.446,-229.246
263.456,-220.888
263.471,-179.849
263.477,-256.784
263.487,-168.375
263.496,-229.648
263.506,-221.558
263.516,-180.117
263.530,-256.650
263.536,-168.777
263.546,-228.978
263.556,-221.424
263.566,-179.179
263.579,-257.186
263.589,-169.045
263.597,-229.112
263.610,-222.094
263.616,-178.492
263.627,-257.052
263.639,-168.241
263.650,-228.442
263.657,-221.692
263.666,-178.760
263.676,-256.516
263.689,-168.777
263.699,-228.308
263.707,-222.228
263.719,-178.224
263.726,-256.650
263.748,-168.777
263.749,-227.906
263.758,-221.692
263.768,-178.090
263.779,-256.784
263.786,-169.313
263.796,-228.442
263.809,-222.915
263.819,-178.090
263.826,-256.248
263.836,-169.045
263.857,-227.085
263.859,-223.317
263.867,-177.956
263.879,-254.489
263.888,-169.179
263.896,-227.638
263.908,-223.719
263.920,-176.884
263.929,-256.114
263.937,-169.447
263.946,-226.817
263.965,-223.317
263.967,-177.420
263.979,-256.650
263.989,-169.447
263.997,-227.638
264.015,-224.657
264.016,-177.420
264.029,-256.784
264.040,-169.447
264.046,-226.683
264.056,-223.853
264.073,-176.884
264.078,-255.980
264.086,-169.447
264.097,-226.147
264.106,-225.209
264.123,-176.734
264.127,-256.114
264.137,-169.447
264.148,-225.611
264.156,-220.335
264.167,-176.332
264.180,-255.846
264.189,-169.447
264.196,-225.745
264.206,-225.343
264.216,-175.930
264.229,-256.516
264.238,-170.000
264.248,-226.281
264.258,-225.745
264.265,-176.198
264.289,-255.980
264.291,-170.670
264.299,-226.013
264.307,-226.415
264.316,-176.600
264.326,-256.382
264.338,-170.670
264.349,-225.343
264.356,-225.611
264.368,-175.528
264.376,-255.980
264.386,-170.268
264.396,-225.611
264.409,-226.281
264.419,-175.394
264.428,-255.846
264.437,-170.804
264.446,-225.477
264.458,-226.817
264.466,-175.930
264.480,-256.114
264.487,-171.206
264.496,-224.925
264.506,-227.219
264.516,-175.662
264.530,-255.980
264.539,-171.206
264.547,-225.059
264.566,-227.353
264.568,-175.260
264.577,-256.114
264.590,-171.608
264.596,-225.477
264.606,-228.442
264.627,-174.724
264.628,-255.444
264.638,-170.402
264.650,-224.657
264.657,-228.442
264.678,-174.992
264.679,-255.846
264.687,-171.742
264.700,-224.255
264.706,-228.576
264.716,-174.439
264.734,-255.980
264.736,-172.144
264.749,-224.255
264.758,-228.710
264.768,-164.724
264.783,-255.846
264.787,-171.876
264.797,-223.585
264.806,-229.246
264.815,-173.903
264.826,-255.846
264.843,-172.010
264.846,-223.317
264.856,-229.246
264.868,-174.171
264.876,-255.846
264.889,-172.144
264.900,-223.049
264.907,-229.648
264.916,-173.769
264.926,-255.980
264.936,-172.965
264.949,-223.451
264.960,-230.067
264.967,-173.903
264.976,-255.846
264.986,-172.429
264.999,-222.228
265.007,-230.469
265.016,-173.903
265.028,-255.846
265.036,-172.965
265.046,-222.496
265.056,-230.335
265.072,-173.367
265.077,-255.712
265.089,-172.563
265.096,-222.362
265.106,-231.273
265.116,-173.501
265.129,-255.846
265.136,-173.635
265.146,-221.558
265.166,-231.675
265.169,-172.429
265.177,-255.578
265.186,-173.769
265.199,-191.055
265.207,-232.630
265.218,-173.501
265.226,-255.846
265.239,-173.769
265.247,-222.094
265.256,-232.077
265.276,-173.233
265.277,-255.712
265.289,-173.769
265.299,-221.290
265.306,-232.362
265.325,-172.831
265.327,-255.712
265.339,-173.903
265.350,-221.290
265.357,-232.496
265.366,-172.429
265.383,-255.176
265.387,-173.903
265.397,-220.888
